fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220528 214416	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	52	TRUE	999983	0.210556792740091	0.203145749944479	7074	864	0.0257803358301474	12489000	34
20220528 214542	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	389	TRUE	999983	0.0104176570139267	0.421732370716997	3598	281	0.015774645515363	13720000	35
20220528 214704	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	324	TRUE	999983	0.014295633956303	0.452813371555196	2086	610	0.0157204686314619	13770000	36
20220528 214717	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	34	TRUE	999983	0.1539883693071	0.350549385030766	3578	628	0.0157366076413904	12659000	37
20220528 214726	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	25	TRUE	999983	0.296245940014048	0.284484698541077	4890	1024	0.0155177595958013	12227000	38
20220528 214801	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	254	TRUE	999983	0.0327073599234907	0.798337961089762	6079	65	0.0157376336873133	13190000	39
20220528 214904	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	450	TRUE	999983	0.0257461931774955	0.368207234422425	3836	593	0.0157349692243935	13864000	40
20220528 215035	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	540	TRUE	999983	0.0104929622944433	0.334980779970908	3823	820	0.0230104548809086	12735000	41
20220528 215046	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	24	TRUE	999983	0.208137034110025	0.389852772802165	7931	103	0.0217001934029292	12706000	42
20220528 215227	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	642	TRUE	999983	0.0100886741739265	0.554945185788148	7986	602	0.0186711468781335	13283000	43
20220528 215240	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	80	TRUE	999983	0.183385135694815	0.261358917530808	7981	1024	0.0129292264215952	12657000	44
20220528 215334	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	451	TRUE	999983	0.0117949889595692	0.984153202474898	3523	17	0.0177062719742447	13070000	45
20220528 215351	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	96	TRUE	999983	0.0768772719790236	0.252088231686293	7986	276	0.0266036073090018	12105000	46
20220528 215402	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	31	TRUE	999983	0.222314642761686	0.226874377173799	2638	1024	0.0105968649638093	12669000	47
20220528 215450	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	227	TRUE	999983	0.0222686135626641	0.366101265865759	2622	410	0.0156938885029715	13725000	48
20220528 215530	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	249	TRUE	999983	0.0294039764688557	0.411291296027418	8000	122	0.0180763071196602	13591000	49
20220528 215610	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	290	TRUE	999983	0.0273729559196952	0.60833715497287	6104	200	0.0186325582983682	13226000	50
20220528 215759	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	543	TRUE	999983	0.0105736045027797	0.510506756369933	3584	1004	0.0153467146210387	13684000	51
20220528 215808	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	26	TRUE	999983	0.217935832168907	0.282951430941787	7997	21	0.0149924785722579	12553000	52
20220528 215929	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	625	TRUE	999983	0.0100486717396314	0.90913885619664	3539	646	0.015511257258981	13423000	53
20220528 220110	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	674	TRUE	999983	0.0106458024325216	0.422019516720468	7834	639	0.0153638355910542	13582000	54
20220528 220200	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	214	TRUE	999983	0.0222533800307271	0.568286300509632	8000	317	0.0155285219868387	13260000	55
20220528 220349	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	767	TRUE	999983	0.0104744788766515	0.329904074721654	2788	20	0.0176112042942565	13467000	56
20220528 220455	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	330	TRUE	999983	0.0121045852557144	0.388102161448137	7683	1024	0.0272772688235624	11937000	57
20220528 220504	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	24	TRUE	999983	0.299706848229686	0.201041534203151	4664	79	0.0263648995635146	11905000	58
20220528 220520	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	59	TRUE	999983	0.0976114068259332	0.499509672076192	7927	22	0.0179453043006926	13044000	59
20220528 220702	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	540	TRUE	999983	0.011890167820395	0.474037108903847	2641	120	0.0154867679583795	13887000	60
20220528 220834	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	217	TRUE	999983	0.010468243873722	0.394765815289565	11	121	0.0153943024298082	10775000	61
20220528 220913	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	188	TRUE	999983	0.0323192639413913	0.408805017222243	2827	166	0.0163240544661512	13715000	62
20220528 221059	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	659	TRUE	999983	0.010088223285995	0.349206284250738	3799	924	0.0156287200551364	13757000	63
20220528 221147	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	66	TRUE	999983	0.0105403450833672	0.33597411837366	7997	79	0.00837416542551782	10826000	64
20220528 221325	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	465	TRUE	999983	0.0103770299618318	0.443202594282951	2759	638	0.015519259644336	13781000	65
20220528 221354	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	172	TRUE	999983	0.0311156877041078	0.662161022830015	3612	920	0.0173043107146572	13427000	66
20220528 221403	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	24	TRUE	999983	0.263491078190594	0.200854120120036	8000	419	0.0179191827700026	12661000	67
20220528 221428	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	166	TRUE	999983	0.0405588678530525	0.202378824143537	7191	123	0.0167263249762095	13334000	68
20220528 221441	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	27	TRUE	999983	0.205759654851782	0.472494257837929	3702	1024	0.0203377944563714	12072000	69
20220528 221528	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	228	TRUE	999983	0.0244567471358239	0.551970385266049	3592	96	0.0160620246652196	13657000	70
20220528 221558	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	156	TRUE	999983	0.0360349601620437	0.33053710273341	6752	652	0.0168238966109515	13699000	71
20220528 221745	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	679	TRUE	999983	0.0105715252701108	0.291063277235678	2365	133	0.0164354584704506	13761000	72
20220528 221805	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	100	TRUE	999983	0.240878227384937	0.200071241274041	6219	873	0.0104589931297815	11826000	73
20220528 221901	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	347	TRUE	999983	0.0160872744845093	0.81779858345965	2414	114	0.015612269379529	13573000	74
20220528 221942	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	191	TRUE	999983	0.0247691266932501	0.270166297618001	2273	884	0.0152357833312833	13645000	75
20220528 221950	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	19	TRUE	999983	0.184746902055124	0.998144619265943	7993	236	0.0159016747213791	12910000	76
20220528 222013	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	181	TRUE	999983	0.0807216842744758	0.23109983022026	7998	656	0.0176061151934901	13117000	77
20220528 222115	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	555	TRUE	999983	0.0110064742283598	0.998950045629349	6989	598	0.017088066417444	12752000	78
20220528 222122	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	17	TRUE	999983	0.299873436763418	0.993101114160888	7992	333	0.0248555705082787	12050000	79
20220528 222130	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	35	TRUE	999983	0.299997022663446	0.990189475847685	7992	125	0.0114744099129019	11898000	80
20220528 222159	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	180	TRUE	999983	0.0306231869160857	0.996144914450392	3726	263	0.0152880750767794	13116000	81
20220528 222208	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	14	TRUE	999983	0.29742388564167	0.200711298849654	2069	259	0.0177253397370838	12264000	82
20220528 222300	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	327	TRUE	999983	0.0259175111710366	0.34549029064142	3542	848	0.0158976901270236	13613000	83
20220528 222404	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	447	TRUE	999983	0.0248896285856639	0.463733077942138	5674	611	0.0165348780337823	13486000	84
20220528 222419	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	40	TRUE	999983	0.0991238754380085	0.469757596372802	6960	953	0.0158810417022557	13042000	85
20220528 222426	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	24	TRUE	999983	0.275469653538661	0.995465180005531	2376	16	0.0246252297416213	11714000	86
20220528 222557	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	488	TRUE	999983	0.0116491010467569	0.340619590969864	2365	563	0.0166592125404823	13790000	87
20220528 222738	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	697	TRUE	999983	0.0110461740763718	0.243642503106912	2534	551	0.0151279468581756	13638000	88
20220528 222923	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	700	TRUE	999983	0.0102003400976201	0.408303033544924	7154	390	0.0186640587860243	13231000	89
20220528 223205	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	1555	TRUE	999983	0.0105424250090548	0.220894182542394	4238	661	0.0147719609210187	13665000	90
20220528 223325	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	599	TRUE	999983	0.0101171219219088	0.995631896051447	3659	976	0.020889614934018	12733000	91
20220528 223339	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	54	TRUE	999983	0.051896713935697	0.853893382791073	7999	154	0.0192134312856239	12910000	92
20220528 223503	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	692	TRUE	999983	0.010202950281939	0.767836468141095	3823	599	0.0178471426986738	13528000	93
20220528 223529	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	147	TRUE	999983	0.0435694511910952	0.327054644164167	7518	241	0.0159994967081372	13387000	94
20220528 223715	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	609	TRUE	999983	0.010127980011982	0.960914145955901	1607	1024	0.0158289840523667	13604000	95
20220528 223905	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	455	TRUE	999983	0.0100380583300184	0.489868577574654	2007	962	0.0158013351392619	13728000	96
20220528 223919	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	55	TRUE	999983	0.102671043885591	0.999481565284751	2504	1022	0.0147465812420966	13049000	97
20220528 224131	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	994	TRUE	999983	0.0122212189239466	0.992795831840243	1689	1024	0.00839337956682647	12349000	98
