fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220522 174131	-0.273016470001199	1282	2	10	5	9575000	218
20220522 174212	-0.629454168419557	7096	512	5	5	8214000	219
20220522 204957	-0.896093798852534	1864	930	17	5	9807000	220
20220522 205033	-0.680545310013223	2020	514	5	5	10446000	221
20220522 205127	-0.999836031332759	2813	274	9	5	9747000	222
20220522 205210	-0.999789837350237	4998	1	5	5	9373000	223
20220522 205315	-0.189455970073369	5300	1591	17	5	8644000	224
20220522 205412	-0.0546868685168342	8000	806	20	5	8355000	225
20220522 205505	-0.50013759263627	872	436	5	5	10930000	226
20220522 205620	-0.123483976784395	1575	476	19	5	10718000	227
20220522 205717	-0.99901977007737	2200	1100	8	5	9749000	228
20220522 205802	-0.999816061690248	3607	1801	5	5	8783000	229
20220522 205910	-0.864485117477392	3094	510	16	5	9782000	230
