Feature	Gain	Cover	Frequency
ctrx_quarter	0.156993828904436	0.0231287894120448	0.0268607750666393
mcaja_ahorro	0.0579626553899196	0.0180519218121026	0.0271683411933566
mpayroll	0.0442899126193479	0.0301938432375088	0.0117900348574944
mpasivos_margen	0.043177772164576	0.0223600992848863	0.0310641787984417
cpayroll_trx	0.0394477590660172	0.0163633142329031	0.00420340373180234
Visa_msaldopesos	0.028271567313429	0.0159198799126276	0.017633791265122
ctarjeta_visa_trx	0.0252438953492091	0.0199417739479862	0.0206069304900554
mcuenta_corriente	0.0250091611986985	0.0127902028750993	0.0196842321099036
mactivos_margen	0.0249028844555882	0.0213413179530993	0.020196842321099
Visa_mpagominimo	0.0228371873141602	0.0171841912084954	0.0219397170391634
mrentabilidad_annual	0.0213507115956655	0.020822229605422	0.0272708632355957
mcuentas_saldo	0.0211943444708283	0.0289783735439652	0.028911215911421
Master_fechaalta	0.0201300644328459	0.0225192532789063	0.0292187820381382
mtarjeta_visa_consumo	0.0190701644571804	0.0133201039865969	0.0156858724625795
mprestamos_personales	0.0182293508776346	0.0198833456675198	0.00738158704121386
cliente_edad	0.0171796559673185	0.0205134931586639	0.0254254664752922
Visa_fechaalta	0.0169976958242892	0.0174867719987622	0.0294238261226164
Master_Fvencimiento	0.0160311647490786	0.0196641387033693	0.0254254664752922
cliente_antiguedad	0.0153830258644488	0.0130222408511	0.0223498052081197
mrentabilidad	0.0152690132414451	0.0174026110559143	0.0216321509124462
Visa_Fvencimiento	0.0151519751640109	0.0123552552877897	0.0207094525322944
numero_de_cliente	0.0144036342933414	0.0120602479732551	0.0227598933770761
Visa_mconsumospesos	0.0134645670086762	0.0160309441017145	0.0228624154193152
chomebanking_trx	0.0133575042463146	0.0134357495987117	0.0183514455607956
mcomisiones	0.0132049995387523	0.0115852482537916	0.0228624154193152
mcaja_ahorro_dolares	0.0124779582822844	0.0208356156354805	0.0186590116875128
Master_mfinanciacion_limite	0.0116971021121854	0.0111857259650273	0.020196842321099
Visa_mfinanciacion_limite	0.0116213987970003	0.0142345519864768	0.0191716218987082
Visa_mpagospesos	0.0111204724958447	0.0102502377294354	0.0173262251384048
mcomisiones_otras	0.010421344369662	0.0116244628130131	0.0156858724625795
mcomisiones_mantenimiento	0.0104042980292754	0.0156940228212185	0.00963707197047365
mtransferencias_recibidas	0.0100030110097377	0.0111263137886463	0.0196842321099036
cprestamos_personales	0.00973694585259647	0.00581083376974583	0.00328070535165061
Master_mlimitecompra	0.00949470510172742	0.0110074591621639	0.015173262251384
cproductos	0.0094538937015994	0.0108508632975218	0.0146606520401886
Visa_msaldototal	0.00800401233946412	0.00972486253914493	0.0161984826737749
mtransferencias_emitidas	0.00792938251971829	0.0118434376786402	0.011379946688538
ccomisiones_otras	0.00622534369667133	0.0133878918923021	0.011379946688538
thomebanking	0.00566328757485176	0.00397406155704929	0.00379331556284601
Visa_cconsumos	0.00548587006576927	0.00801443265312185	0.0115849907730162
Visa_mlimitecompra	0.00521590548706095	0.0073646728367469	0.00963707197047365
ctarjeta_debito_trx	0.00510999302230716	0.00979296831891483	0.0147631740824277
Visa_mconsumototal	0.00496114783109286	0.00377393208240168	0.00984211605495181
ccomisiones_mantenimiento	0.00488985753028037	0.0141877235865624	0.00420340373180234
ctransferencias_recibidas	0.00488371301186328	0.0109237371882624	0.00768915316793111
Master_mpagospesos	0.00477316019526448	0.0150316640915167	0.00850932950584376
mcuenta_debitos_automaticos	0.00468958011525166	0.00819742720199539	0.00953454992823457
mtarjeta_visa_debitos_automaticos	0.00455905955933848	0.00690254953971432	0.00871437359032192
mautoservicio	0.00440475514003768	0.012162204818107	0.0142505638712323
mpagomiscuentas	0.00425830397925178	0.0102371594822015	0.00768915316793111
Master_msaldopesos	0.00403568551193961	0.00673105900461137	0.00492105802747591
Master_status	0.00402370116569699	0.0123307184373658	0.00205044084478163
ccallcenter_trx	0.00392974517872658	0.00773168114974908	0.00317818330941152
mdescubierto_preacordado	0.00369485387666711	0.00504286012063795	0.0016403526758253
Visa_mpagado	0.00358976689630391	0.0117109245586152	0.00850932950584376
ccuenta_debitos_automaticos	0.00355275133598616	0.00883359411788877	0.00779167521017019
Master_msaldototal	0.00354740022352262	0.00407109387670814	0.00533114619643223
ctarjeta_debito	0.00353324266329201	0.00462905368144183	0.00533114619643223
ctransferencias_emitidas	0.00350349995894573	0.0105357088220285	0.00522862415419315
cextraccion_autoservicio	0.0034880659951923	0.00583469955269973	0.00645888866106213
Master_mpagominimo	0.00320679320888467	0.00453340386168349	0.00410088168956326
ctarjeta_visa_debitos_automaticos	0.00310283467866904	0.00453531110607177	0.00522862415419315
mextraccion_autoservicio	0.00302657029314486	0.00852072026266933	0.0119950789419725
tcallcenter	0.00298465577065238	0.00221839264143539	0.00123026450686898
ccaja_ahorro	0.00276223721023594	0.00904314881083615	0.00379331556284601
Visa_mpagosdolares	0.00263162367920454	0.00491254184534553	0.00399835964732418
cpagomiscuentas	0.00246373573539616	0.00568411302156676	0.00461349190075866
mplazo_fijo_dolares	0.00230013217091081	0.0161198025168522	0.00287061718269428
cmobile_app_trx	0.00225109778712353	0.00149752994696609	0.00348574943612877
ccajas_consultas	0.00197157870173499	0.00932107165579732	0.00174287471806438
Master_fultimo_cierre	0.00195913831880295	0.00205202845632846	0.00328070535165061
Visa_mconsumosdolares	0.00168666285505197	0.00296204135616257	0.00348574943612877
Master_mconsumospesos	0.00158695194912939	0.00261196614413149	0.00358827147836785
Visa_fultimo_cierre	0.00153814740951166	0.00172051103493256	0.00338322739388969
Visa_Finiciomora	0.00144212460552283	0.00383711838259863	0.0011277424646299
ccaja_seguridad	0.00133128623577982	0.00548223271675318	0.00143530859134714
catm_trx	0.00128631045749311	0.00506390035634995	0.00369079352060693
mtarjeta_master_consumo	0.00114303353130727	0.00138538094956309	0.00205044084478163
matm	0.00107747586110173	0.00267528867607046	0.00389583760508509
Master_mconsumototal	0.000997064937358394	0.00140156225314304	0.00215296288702071
Visa_status	0.000955455397550488	0.00429276310345515	0.00102522042239081
mttarjeta_master_debitos_automaticos	0.000951311887192989	0.00275282976538028	0.00174287471806438
tpaquete7	0.000849309139588	0.00712787179539551	0.00102522042239081
cinversion1	0.00083586383541687	0.00722718473532816	0.000922698380151733
ccajas_trx	0.000815269169554089	0.00258520417525465	0.000820176337912651
cseguro_accidentes_personales	0.000792269082652847	0.00915586291768753	0.00194791880254255
Visa_msaldodolares	0.000766619061665415	0.00259252032436314	0.00194791880254255
Master_mpagado	0.000758980880330185	0.00880653445742752	0.00205044084478163
Master_cconsumos	0.000757837848233411	0.00198945772178063	0.00256305105597704
active_quarter	0.000698567305951884	0.000124763047590046	0.000307566126717244
Visa_delinquency	0.000647242732232185	0.00225471606035401	0.000820176337912651
mtarjeta_visa_descuentos	0.00058928890127178	0.00579798762103534	0.00225548492925979
tmobile_app	0.000578960020163482	0.0059809569418085	0.000922698380151733
ctarjeta_master	0.000574029974431333	0.000550189549818475	0.000615132253434488
tpaquete9	0.000564295060240495	0.00441414558559507	0.000820176337912651
ctarjeta_master_trx	0.000546092211822566	0.00084102413655111	0.00123026450686898
mcheques_emitidos	0.000530081651678675	0.00239943453533997	0.000307566126717244
cplazo_fijo	0.00034870198585255	0.00105416626537168	0.000410088168956326
internet	0.000342437845138935	0.00345374207807375	0.000615132253434488
matm_other	0.000336319088987419	0.000768054379029079	0.00133278654910806
ccajas_extracciones	0.000280726462667826	0.00325741195534247	0.000820176337912651
Visa_madelantodolares	0.000278163078518307	0.00029430597334411	0.000512610211195407
ctarjeta_visa	0.000261328574119303	0.000703712631834989	0.000820176337912651
minversion2	0.000217918074815797	0.00321684516994092	0.000410088168956326
tpaquete1	0.000208214000204219	0.00375090891800028	0.000512610211195407
cseguro_vida	0.000191833032662952	0.000490762236577258	0.000410088168956326
Master_mpagosdolares	0.000183770753826539	0.000407872789988133	0.00071765429567357
Master_mconsumosdolares	0.000164122140666044	0.000199357494776169	0.000512610211195407
mcaja_ahorro_adicional	0.000146763416293711	0.00142172959658209	0.000307566126717244
ctarjeta_master_debitos_automaticos	0.000143455110763503	0.00059516620716541	0.000205044084478163
catm_trx_other	0.00013994184537372	0.000952370880362212	0.00123026450686898
ccajeros_propios_descuentos	0.000138999345515246	0.00380932206160646	0.000512610211195407
minversion1_pesos	0.000124314459751503	0.000708692658848835	0.000102522042239081
cforex	0.000123765290907773	0.000349454600761881	0.000512610211195407
mcheques_depositados	0.000107350138418166	0.00230082798221778	0.000307566126717244
cseguro_auto	9.02368486882263e-05	0.00230110044570182	0.000307566126717244
Master_delinquency	7.23847867088175e-05	0.000244541022546172	0.000205044084478163
Visa_madelantopesos	6.5899762419519e-05	0.000340296800326084	0.00071765429567357
ctarjeta_visa_descuentos	5.82314435916499e-05	0.000894210017759775	0.000410088168956326
ccheques_depositados	4.07408535518504e-05	0.00072904164461058	0.000102522042239081
mforex_sell	3.57419657293476e-05	0.000890451030804035	0.000307566126717244
cforex_sell	3.72833573120988e-12	0.000333354027103134	0.000307566126717244
Master_cadelantosefectivo	4.08149407756688e-13	8.85809060335202e-05	0.000307566126717244
Master_madelantopesos	7.5442316436641e-14	2.66610564753429e-05	0.000102522042239081
