leaves	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220528 230148	0	0	0	1	hist	lossguide	256	0	1	0.01001403022606	0.256068885521129	10	2	0.0122370981670697	2521	12890000	31
20220529 014656	0	0	0	1	hist	lossguide	256	0	1	0.170671388897278	0.320050029882055	8	2	0.0149509719300224	158	12870000	98
20220529 005215	0	0	0	1	hist	lossguide	256	0	1	0.0100732447984387	0.571576310526906	6	2	0.0139045510376694	2405	12863000	69
20220528 235453	0	0	0	1	hist	lossguide	256	0	1	0.0513853400831536	0.61945909417786	8	2	0.0159111276428859	370	12850000	52
20220529 021607	0	0	0	1	hist	lossguide	256	0	1	0.0100905786125581	0.550982300727594	5	679	0.0142797877295994	185	12829000	109
20220529 010855	0	0	0	1	hist	lossguide	256	0	1	0.299264208298856	0.510035701034355	8	2	0.0179581958129565	77	12805000	80
20220529 014155	0	0	0	1	hist	lossguide	256	0	1	0.0218614087909767	0.54462852646467	7	2	0.0128814998353666	970	12800000	95
20220528 230758	0	0	0	1	hist	lossguide	256	0	1	0.0311735115280778	0.708662661391094	9	1021	0.0156384979441022	76	12777000	34
20220529 000615	0	0	0	1	hist	lossguide	256	0	1	0.0100264599438402	0.370034888225093	7	2	0.0156258788376321	1336	12775000	55
20220529 001904	0	0	0	1	hist	lossguide	256	0	1	0.0101313365183967	0.993330048244105	8	2	0.0125548312469749	1993	12772000	60
20220529 011035	0	0	0	1	hist	lossguide	256	0	1	0.0501774982164923	0.766314210029494	10	1005	0.0126189934628125	52	12762000	83
20220529 013511	0	0	0	1	hist	lossguide	256	0	1	0.0102193044824376	0.999136221595622	5	390	0.0117477677103756	154	12759000	92
20220529 013538	0	0	0	1	hist	lossguide	256	0	1	0.166533071251707	0.553501433387422	8	24	0.014616896461756	18	12740000	93
20220528 234114	0	0	0	1	hist	lossguide	256	0	1	0.0102571185407099	0.786494708311108	10	2	0.0190269282055572	2334	12736000	46
20220529 015846	0	0	0	1	hist	lossguide	256	0	1	0.0121855191740419	0.200614840114786	8	90	0.0145605269093852	219	12732000	102
20220529 013925	0	0	0	1	hist	lossguide	256	0	1	0.0115558729361565	0.447183036275336	9	2	0.0146483104133555	1524	12724000	94
20220529 021755	0	0	0	1	hist	lossguide	256	0	1	0.0581592123637369	0.57257209792966	7	1024	0.016172631665439	29	12710000	111
20220529 002929	0	0	0	1	hist	lossguide	256	0	1	0.0587300655764215	0.288539490980758	7	1024	0.0127933364812407	65	12683000	64
20220528 232846	0	0	0	1	hist	lossguide	256	0	1	0.0100866794536479	0.872669939950292	5	2	0.0155885155625728	1895	12668000	42
20220528 223304	0	0	0	1	hist	lossguide	256	0	1	0.0749828831164824	0.946327375396446	7	1024	0.00834387251184889	18	12661000	21
20220528 223758	0	0	0	1	hist	lossguide	256	0	1	0.0124942949657608	0.999776624498754	6	767	0.00861631060038805	188	12659000	24
20220529 010915	0	0	0	1	hist	lossguide	256	0	1	0.297005753641928	0.742144906404981	9	5	0.0134208071481109	35	12658000	81
20220529 011102	0	0	0	1	hist	lossguide	256	0	1	0.292628386969343	0.993272317884358	10	3	0.014969308252679	108	12646000	84
20220529 022144	0	0	0	1	hist	lossguide	256	0	1	0.0101153609079709	0.248492412976615	6	643	0.00834902764104561	57	12614000	113
20220529 021827	0	0	0	1	hist	lossguide	256	0	1	0.299974804692189	0.944613557444573	7	3	0.0165420365821445	119	12546000	112
20220529 020704	0	0	0	1	hist	lossguide	256	0	1	0.0100247896412975	0.20768513835822	4	666	0.0145685288524205	129	12475000	105
20220529 011722	0	0	0	1	hist	lossguide	256	0	1	0.0126804884164406	0.739986424948417	6	1024	0.00847359179905274	61	12440000	87
20220529 015912	0	0	0	1	hist	lossguide	256	0	1	0.120927115618746	0.200313016009246	5	8	0.0163701058123643	48	12437000	103
20220528 223357	0	0	0	1	hist	lossguide	256	0	1	0.0490944061733529	0.804648066328937	7	3	0.00835386707154462	246	12274000	22
20220528 224008	0	0	0	1	hist	lossguide	256	0	1	0.0171521714364979	0.998711697278733	5	1021	0.0083469003987792	27	12244000	25
20220528 223440	0	0	0	1	hist	lossguide	256	0	1	0.0622952874727652	0.462837539140826	7	844	0.0083350491828878	7	12217000	23
20220529 013120	0	0	0	1	hist	lossguide	256	0	1	0.0105717545136703	0.93129934112589	10	595	0.00839148554442572	258	12127000	91
20220529 012352	0	0	0	1	hist	lossguide	256	0	1	0.0138721742942477	0.99458328061573	6	1024	0.0170829993384699	153	12116000	89
20220528 235352	0	0	0	1	hist	lossguide	256	0	1	0.0406370629427519	0.493822424009163	10	1024	0.0206902992397528	65	12094000	51
20220529 015551	0	0	0	1	hist	lossguide	256	0	1	0.0830336221045795	0.200054688308786	5	359	0.00925105807601425	27	12013000	101
20220528 222856	0	0	0	1	hist	lossguide	256	0	1	0.0658634967816761	0.770406375806779	4	588	0.00849464620502355	12	11848000	16
20220529 023300	0	0	0	1	hist	lossguide	256	0	1	0.299960222317302	0.914393571675541	10	4	0.021384663091126	38	11830000	120
20220528 235249	0	0	0	1	hist	lossguide	256	0	1	0.162189782004783	0.252431292560076	10	1023	0.0111309015003736	30	11823000	50
20220529 023015	0	0	0	1	hist	lossguide	256	0	1	0.15276648688997	0.200028459642735	8	13	0.0200265862811696	40	11734000	118
20220528 223217	0	0	0	1	hist	lossguide	256	0	1	0.262157775356784	0.207046325877309	10	19	0.0148252854128562	15	11659000	20
20220528 224047	0	0	0	1	hist	lossguide	256	0	1	0.109809442220534	0.99908070780483	7	756	0.00838859124441867	29	11590000	26
20220529 022610	0	0	0	1	hist	lossguide	256	0	1	0.0100317930063437	0.999827406098579	8	2	0.0268206589911845	1446	11549000	115
20220528 222713	0	0	0	1	hist	lossguide	256	0	1	0.0460706076488132	0.260869212523103	7	290	0.0210464212471076	63	11501000	13
20220528 231139	0	0	0	1	hist	lossguide	256	0	1	0.280922913176715	0.537701633351259	10	1024	0.0146078025675693	13	11477000	36
20220528 233155	0	0	0	1	hist	lossguide	256	0	1	0.0370802334279544	0.625669555449055	10	2	0.00837647552799844	807	11193000	44
20220528 221854	0	0	0	1	hist	lossguide	256	0	1	0.157156307739206	0.454935182360932	5	790	0.0202562419416305	13	10941000	3
20220529 021058	0	0	0	1	hist	lossguide	256	0	1	0.196849942964185	0.200650119885625	6	123	0.0131912140419329	11	10873000	107
20220529 011450	0	0	0	1	hist	lossguide	256	0	1	0.291474442780569	0.99826557162003	10	1012	0.00834200054947712	9	10575000	86
20220528 222229	0	0	0	1	hist	lossguide	256	0	1	0.119246932247421	0.286557921450585	8	876	0.0287840316426203	18	10190000	9
20220528 222738	0	0	0	1	hist	lossguide	256	0	1	0.244268685384188	0.581185477981344	8	664	0.0263160470693644	10	10172000	14
20220528 221924	0	0	0	1	hist	lossguide	256	0	1	0.199197355909855	0.898889952274039	10	486	0.0294105971348472	15	9722000	4
20220529 001338	0	0	0	1	hist	lossguide	256	0	1	0.299690234419791	0.200367059317063	5	1004	0.01345433631161	5	9551000	58
20220528 222350	0	0	0	1	hist	lossguide	256	0	1	0.293173837889684	0.845765188047662	3	364	0.0116213823387322	3	9524000	11
20220528 223002	0	0	0	1	hist	lossguide	256	0	1	0.279651967671583	0.93575570769608	2	991	0.013241974771275	5	9387000	18
20220528 221751	0	0	0	1	hist	lossguide	256	0	1	0.0952442964699585	0.667185687925667	7	672	0.0318427375275254	24	9383000	1
20220528 222136	0	0	0	1	hist	lossguide	256	0	1	0.099435953600565	0.601552277617156	2	66	0.0232534249046391	43	8906000	7
20220528 221820	0	0	0	1	hist	lossguide	256	0	1	0.225893747024937	0.839236263819039	6	253	0.036001910653431	8	8247000	2
20220528 222013	0	0	0	1	hist	lossguide	256	0	1	0.144691506484756	0.513573562800884	1	562	0.0186455180262177	7	7087000	5
20220528 222322	0	0	0	1	hist	lossguide	256	0	1	0.0743847734051524	0.544600986298174	6	429	0.0407684261605027	54	7038000	10
20220528 222610	0	0	0	1	hist	lossguide	256	0	1	0.0181846788725816	0.753996659070253	9	834	0.045012871780879	174	6929000	12
20220528 222931	0	0	0	1	hist	lossguide	256	0	1	0.13516009071935	0.972586984662339	5	348	0.0471306004978639	13	6670000	17
20220528 222806	0	0	0	1	hist	lossguide	256	0	1	0.235782920597936	0.359927528705448	4	196	0.0499588589251895	9	5850000	15
20220528 223156	0	0	0	1	hist	lossguide	256	0	1	0.0296425207192078	0.377616382958367	1	962	0.0334445887861269	39	5018000	19
20220528 222047	0	0	0	1	hist	lossguide	256	0	1	0.194542225673329	0.426528780441731	0	131	0.0392175467185249	4	3365000	6
20220528 222156	0	0	0	1	hist	lossguide	256	0	1	0.176442621477298	0.717574946153909	0	766	0.0425288321164165	1	1350000	8
