fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220525 222325	-0.383896417086362	2440	298	16	5	9351000	1
20220525 222440	-0.193675445586268	4839	1332	10	5	8479000	2
20220525 222546	-0.486359602601442	6093	1856	19	5	8830000	3
20220525 222638	-0.293554559710901	4126	207	5	5	8754000	4
20220525 222743	-0.917373302360647	5403	622	8	5	9269000	5
20220525 222853	-0.788856292181299	6825	1116	16	5	9047000	6
20220525 223011	-0.0201427245279773	2667	777	18	5	9914000	7
20220525 223121	-0.625017647304048	3477	1623	12	5	8398000	8
20220525 223226	-0.118330551299732	1859	396	7	5	10221000	9
